company,sector,website,country,opportunity_type,source,source_url,source_type,signals,tech_stack,buying_intent_signals,partnership_signals,fit_score,intent_score,partner_score,risk_score,priority,decision_roles,suggested_channel,recommended_action,first_message_angle,objection_prediction,offer_recommended,next_action,next_action_date,status,owner,notes
Intelmatix,AI,intelmatix.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,34,0,7,15,BACKLOG,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
STCS,IT Services,stcs.com.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,34,0,7,15,BACKLOG,BD head,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,Bureaucratic
Haraj,Marketplace,haraj.com.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,,unknown,,,43,0,16,15,BACKLOG,CEO,LINKEDIN_MANUAL,PREPARE_DM,AI sales rep بالعربي يرد على leads خلال 45 ثانية، يؤهّل، ويحجز demo — يركب فوق CRM الحالي ويسلّم sequence جاهزة للـ SDR.,price/CRM exists/AI quality,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Yaqeen,Consulting,yaqeen.com,SA,AGENCY_PARTNER,knowledge,,llm_knowledge,,unknown,,Consulting,34,0,32,15,BACKLOG,Partner,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,
Nohayati,Agency,nohayati.com,SA,AGENCY_PARTNER,knowledge,,llm_knowledge,,unknown,,Agency,42,0,40,15,BACKLOG,Founder,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,للوكالات: setup 3-15K + 20-30% من MRR كل عميل دائم. 3-5 عملاء = revenue stream جديد بدون tech build.,commission %/client ownership,Setup 3-15K + 20-30% MRR,PREPARE_PARTNER_PITCH,,queued,sami,
NRG,Staffing,nrg.com.sa,SA,REFERRAL_PARTNER,knowledge,,llm_knowledge,,unknown,,Staffing,32,0,32,15,BACKLOG,BD,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,referral 10% من MRR لـ 12 شهر على كل عميل يجي عبرك — صفر setup.,value for effort,10% MRR × 12 months,PREPARE_PARTNER_PITCH,,queued,sami,
Adel Al-Falih,Angel Investor,,SA,INVESTOR_OR_ADVISOR,knowledge,,llm_knowledge,,unknown,,Angel Investor,28,0,7,40,BACKLOG,Angel,EMAIL,PREPARE_INVESTOR_NOTE,Dealix = Arabic-first AI sales operator. نبحث عن portfolio introductions + advisory.,stage/fit,Advisory + portfolio intros,PREPARE_INVESTOR_NOTE,,queued,sami,Father of Hisham Al-Falih
Abdullah Alzahrani,Content Creator,,SA,CONTENT_COLLABORATION,knowledge,,llm_knowledge,,unknown,,Content Creator,28,0,7,15,BACKLOG,Creator,LINKEDIN_MANUAL,PREPARE_DM,محتوى سعودي حول AI sales + GTM — تعاون podcast/newsletter/سلسلة.,audience fit/time,Content cross-promo,PREPARE_DM,,queued,sami,
Entlaq,Community,entlaq.com.sa,SA,CONTENT_COLLABORATION,knowledge,,llm_knowledge,,unknown,,Community,28,0,7,15,BACKLOG,Community lead,LINKEDIN_MANUAL,PREPARE_DM,محتوى سعودي حول AI sales + GTM — تعاون podcast/newsletter/سلسلة.,audience fit/time,Content cross-promo,PREPARE_DM,,queued,sami,
Mansoor AlRoumi,Content Creator,,SA,CONTENT_COLLABORATION,knowledge,,llm_knowledge,,unknown,,Content Creator,28,0,7,15,BACKLOG,Creator,LINKEDIN_MANUAL,PREPARE_DM,محتوى سعودي حول AI sales + GTM — تعاون podcast/newsletter/سلسلة.,audience fit/time,Content cross-promo,PREPARE_DM,,queued,sami,
Mahmoud Nouh,Content Creator,,SA,CONTENT_COLLABORATION,knowledge,,llm_knowledge,,unknown,,Content Creator,28,0,7,15,BACKLOG,Creator,LINKEDIN_MANUAL,PREPARE_DM,محتوى سعودي حول AI sales + GTM — تعاون podcast/newsletter/سلسلة.,audience fit/time,Content cross-promo,PREPARE_DM,,queued,sami,
Misk Newsroom,Media,newsroom.misk.org.sa,SA,CONTENT_COLLABORATION,knowledge,,llm_knowledge,,unknown,,Media,28,0,7,15,BACKLOG,Editor,LINKEDIN_MANUAL,PREPARE_DM,محتوى سعودي حول AI sales + GTM — تعاون podcast/newsletter/سلسلة.,audience fit/time,Content cross-promo,PREPARE_DM,,queued,sami,
Gate Ventures,Investor,gate.vc,SA,INVESTOR_OR_ADVISOR,knowledge,,llm_knowledge,,unknown,,Investor,28,0,7,40,BACKLOG,Principal,EMAIL,PREPARE_INVESTOR_NOTE,Dealix = Arabic-first AI sales operator. نبحث عن portfolio introductions + advisory.,stage/fit,Advisory + portfolio intros,PREPARE_INVESTOR_NOTE,,queued,sami,
Arzan VC,Investor,arzanvc.com,KW-SA,INVESTOR_OR_ADVISOR,knowledge,,llm_knowledge,,unknown,,Investor,23,0,2,40,BACKLOG,Partner,EMAIL,PREPARE_INVESTOR_NOTE,Dealix = Arabic-first AI sales operator. نبحث عن portfolio introductions + advisory.,stage/fit,Advisory + portfolio intros,PREPARE_INVESTOR_NOTE,,queued,sami,
Vision Ventures,Investor,visionventures.com,SA,INVESTOR_OR_ADVISOR,knowledge,,llm_knowledge,,unknown,,Investor,28,0,7,40,BACKLOG,Partner,EMAIL,PREPARE_INVESTOR_NOTE,Dealix = Arabic-first AI sales operator. نبحث عن portfolio introductions + advisory.,stage/fit,Advisory + portfolio intros,PREPARE_INVESTOR_NOTE,,queued,sami,
KAUST Innovation,Accelerator,kaust.edu.sa,SA,REFERRAL_PARTNER,knowledge,,llm_knowledge,,unknown,,Accelerator,32,0,32,15,BACKLOG,Program lead,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,referral 10% من MRR لـ 12 شهر على كل عميل يجي عبرك — صفر setup.,value for effort,10% MRR × 12 months,PREPARE_PARTNER_PITCH,,queued,sami,
Saudi Technology Development (TAQNIA),Accelerator,taqnia.com,SA,REFERRAL_PARTNER,knowledge,,llm_knowledge,,unknown,,Accelerator,32,0,32,15,BACKLOG,BD,LINKEDIN_MANUAL,PREPARE_PARTNER_PITCH,referral 10% من MRR لـ 12 شهر على كل عميل يجي عبرك — صفر setup.,value for effort,10% MRR × 12 months,PREPARE_PARTNER_PITCH,,queued,sami,
BRKZ Dashboard,ConTech,brkz.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,B2B construction marketplace,unknown,68,50,40,LOW,P1,Founder,LINKEDIN_MANUAL,PREPARE_DM,Construction quote automation,price/CRM exists,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,
Flynas,Airline,flynas.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi low-cost airline — B2B corp sales,unknown,55,40,35,MEDIUM,P2,BD head,EMAIL,RESEARCH_MORE,Corporate sales B2B inquiries,large corp — slow,Enterprise custom,RESEARCH_MORE,,queued,sami,"Slow procurement"
Saudia,Airline,saudia.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,National Saudi carrier — B2B corp,unknown,50,35,30,HIGH,P2,BD head,EMAIL,RESEARCH_MORE,B2B corp sales,enterprise — slow,Enterprise custom,HOLD_FOR_APPROVAL,,queued,sami,"Public — very slow"
Aqar,Proptech,aqar.fm,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi real estate platform,unknown,70,60,50,LOW,P1,Founder,LINKEDIN_MANUAL,PREPARE_DM,Real estate agent enablement,price objection,Pilot 1 SAR × 7 days → Starter 999,PREPARE_DM,,queued,sami,"High fit — lead-heavy"
Wasalny,Ride-hailing,wasalny.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi transportation,unknown,55,40,35,LOW,P2,Founder,LINKEDIN_MANUAL,RESEARCH_MORE,B2B fleet sales,crm exists,Pilot 1 SAR,RESEARCH_MORE,,queued,sami,
MadfoatCom,Fintech,madfoatcom.com,JO-SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Regional fintech,unknown,60,45,40,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Fintech B2B partnerships,ai quality,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Lendo,Fintech,lendo.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi SME lending,unknown,70,55,45,LOW,P1,CEO,LINKEDIN_MANUAL,PREPARE_DM,SME merchant lead qual,crm exists,Pilot 1 SAR → Starter 999,PREPARE_DM,,queued,sami,"Strong fit — SME B2B"
Sulfah,Fintech,sulfah.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi lending,unknown,60,45,40,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,SME loan qualification,trust objection,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Tamkeen,HR Tech,tamkeentech.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi HR tech,unknown,55,40,35,LOW,P2,Founder,LINKEDIN_MANUAL,RESEARCH_MORE,HR SaaS SDR,crm exists,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Plataform,EdTech,plataform.com.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi training platform,unknown,55,40,35,LOW,P2,Founder,LINKEDIN_MANUAL,RESEARCH_MORE,EdTech admissions funnel,price,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Almosafer,Travel B2B,almosafer.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi travel B2B,unknown,58,45,40,MEDIUM,P2,Marketing head,EMAIL,RESEARCH_MORE,Corporate travel B2B,slow enterprise,Enterprise,RESEARCH_MORE,,queued,sami,
Mukatafa,SaaS,mukatafa.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi contracts SaaS,unknown,62,48,42,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,B2B SaaS peer,crm exists,Pilot 1 SAR → Starter 999,PREPARE_DM,,queued,sami,
Red Sea Global,Mega Project,redseaglobal.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Giga-project tourism,unknown,45,30,25,HIGH,P2,BD head,EMAIL,HOLD_FOR_APPROVAL,Enterprise custom,gov complex,Enterprise custom,HOLD_FOR_APPROVAL,,queued,sami,"Hold — gov-complex"
Neom,Mega Project,neom.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Giga-project,unknown,40,25,20,HIGH,P2,BD head,EMAIL,HOLD_FOR_APPROVAL,Enterprise,gov complex,Enterprise,HOLD_FOR_APPROVAL,,queued,sami,"Hold"
Diriyah Gate,Mega Project,diriyah.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Giga-project tourism,unknown,45,30,25,HIGH,P2,BD head,EMAIL,HOLD_FOR_APPROVAL,Enterprise,gov complex,Enterprise,HOLD_FOR_APPROVAL,,queued,sami,"Hold"
Qiddiya,Mega Project,qiddiya.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Giga-project,unknown,45,30,25,HIGH,P2,BD head,EMAIL,HOLD_FOR_APPROVAL,Enterprise,gov complex,Enterprise,HOLD_FOR_APPROVAL,,queued,sami,"Hold"
Yamamah,F&B Chain,yamamahgroup.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi F&B multi-brand,unknown,65,50,45,LOW,P1,CEO,LINKEDIN_MANUAL,PREPARE_DM,F&B franchise inquiries,crm exists,Pilot 1 SAR → Starter 999,PREPARE_DM,,queued,sami,
Kudu,F&B Chain,kudu.com.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi QSR chain,unknown,55,45,40,LOW,P2,BD head,EMAIL,RESEARCH_MORE,Franchise inquiries,slow,Pilot,RESEARCH_MORE,,queued,sami,
Burger King KSA,F&B Franchise,,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Large franchise multi-unit,unknown,55,40,35,MEDIUM,P2,Marketing head,EMAIL,RESEARCH_MORE,Franchise B2B,enterprise,Enterprise,RESEARCH_MORE,,queued,sami,
Danube,Retail Grocery,danube.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi grocery chain,unknown,50,35,30,MEDIUM,P2,BD head,EMAIL,RESEARCH_MORE,B2B supplier relations,enterprise,Enterprise,RESEARCH_MORE,,queued,sami,
Tamweely,Fintech,tamweely.com.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi SME financing,unknown,62,48,42,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,SME financing qualifier,trust,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Anaghra,SaaS,anaghra.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi SaaS B2B,unknown,55,40,35,LOW,P2,Founder,LINKEDIN_MANUAL,RESEARCH_MORE,Peer SaaS,price,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Medad,LegalTech,medad.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi legal SaaS,unknown,60,45,40,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Legal B2B qualification,arabic quality,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Bakkah,Construction,bakkah.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi construction consulting,unknown,55,40,35,MEDIUM,P2,Partner,EMAIL,RESEARCH_MORE,B2B consulting,slow,Pilot,RESEARCH_MORE,,queued,sami,
Ajlani,Proptech,ajlani.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi real estate,unknown,60,45,40,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Real estate agent AI,crm exists,Pilot 1 SAR,PREPARE_DM,,queued,sami,
ZimlaTech,HR Tech,zimla.com.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi HR tech,unknown,55,40,35,LOW,P2,Founder,LINKEDIN_MANUAL,RESEARCH_MORE,HR B2B sales,price,Pilot,RESEARCH_MORE,,queued,sami,
Oqba,Logistics,oqba.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi logistics B2B,unknown,58,45,40,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Quote automation,crm exists,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Naqel,Logistics,naqelexpress.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi shipping,unknown,50,35,30,MEDIUM,P2,BD head,EMAIL,RESEARCH_MORE,Enterprise B2B,slow,Enterprise,RESEARCH_MORE,,queued,sami,
Zajil,Logistics,zajil-express.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi courier,unknown,50,35,30,MEDIUM,P2,BD head,EMAIL,RESEARCH_MORE,B2B quotes,slow,Pilot,RESEARCH_MORE,,queued,sami,
Saudi Ports Authority,Logistics,mawani.gov.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Gov ports,unknown,35,20,15,HIGH,P2,BD head,EMAIL,HOLD_FOR_APPROVAL,Gov — complex,gov,Hold,HOLD_FOR_APPROVAL,,queued,sami,"Skip — gov"
Mrsool,Last-mile,mrsool.co,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi delivery platform,unknown,62,48,42,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Merchant acquisition AI,crm exists,Pilot 1 SAR,PREPARE_DM,,queued,sami,
HungerStation,Food Delivery,hungerstation.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi food delivery,unknown,55,42,38,LOW,P2,Merchant head,LINKEDIN_MANUAL,RESEARCH_MORE,Merchant acquisition,crm,Pilot,RESEARCH_MORE,,queued,sami,
Chikfila KSA,F&B,,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,F&B franchise,unknown,50,35,30,MEDIUM,P2,Marketing,EMAIL,RESEARCH_MORE,Franchise B2B,slow,Pilot,RESEARCH_MORE,,queued,sami,
Al Othaim,Retail,alothaim.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi retail group,unknown,50,35,30,MEDIUM,P2,BD head,EMAIL,RESEARCH_MORE,Retail B2B,slow,Enterprise,RESEARCH_MORE,,queued,sami,
Jarir Bookstore,Retail,jarir.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi retail enterprise,unknown,45,30,25,MEDIUM,P2,Digital head,EMAIL,RESEARCH_MORE,Retail B2B,slow,Enterprise,HOLD_FOR_APPROVAL,,queued,sami,
Al Rajhi Bank,Banking,alrajhibank.com.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi bank,unknown,35,20,15,HIGH,P2,Digital head,EMAIL,HOLD_FOR_APPROVAL,Regulated,bank,Hold,HOLD_FOR_APPROVAL,,queued,sami,"Skip — heavily regulated"
SABB,Banking,sabb.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi bank,unknown,35,20,15,HIGH,P2,Digital head,EMAIL,HOLD_FOR_APPROVAL,Regulated,bank,Hold,HOLD_FOR_APPROVAL,,queued,sami,"Skip"
Ajal,Fintech,ajal.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi fintech,unknown,60,45,40,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Fintech B2B,ai quality,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Cashify,Fintech,cashify.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi fintech,unknown,55,40,35,LOW,P2,Founder,LINKEDIN_MANUAL,RESEARCH_MORE,Fintech SDR,price,Pilot 1 SAR,RESEARCH_MORE,,queued,sami,
Morni,Roadside,morni.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi roadside assistance,unknown,55,40,35,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,B2B fleet sales,crm,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Aoun,SaaS,aoun.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi SaaS B2B,unknown,60,45,40,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Peer SaaS SDR,price,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Beam,Mobility,ridebeam.com,Global-SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,E-scooter mobility in KSA,unknown,45,30,25,MEDIUM,P2,Regional BD,EMAIL,RESEARCH_MORE,Fleet B2B,slow,Pilot,RESEARCH_MORE,,queued,sami,
Eureka,SaaS,eurekatech.io,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi/MENA SaaS,unknown,60,45,40,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Peer SaaS,ai quality,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Dukkan,Retail,dukkan.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi commerce,unknown,58,45,40,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Merchant B2B,crm,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Morsal,HR Tech,morsal.com.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi recruitment tech,unknown,55,40,35,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,HR B2B SDR,price,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Buyout,Fintech,buyout.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi fintech,unknown,55,40,35,LOW,P2,Founder,LINKEDIN_MANUAL,RESEARCH_MORE,Fintech B2B,trust,Pilot 1 SAR,RESEARCH_MORE,,queued,sami,
Qima,Legaltech,qima.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi legal SaaS,unknown,55,40,35,LOW,P2,Founder,LINKEDIN_MANUAL,PREPARE_DM,Legal B2B,arabic,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Paymob,Fintech MENA,paymob.com,EG-SA,STRATEGIC_PARTNER,knowledge,,llm_knowledge,MENA payment gateway,unknown,70,55,65,LOW,P1,BD head,EMAIL,PREPARE_PARTNER_PITCH,Payment gateway partner,competing gateways,Partnership,PREPARE_PARTNER_PITCH,,queued,sami,"Strategic"
PayFort,Fintech MENA,payfort.com,AE-SA,STRATEGIC_PARTNER,knowledge,,llm_knowledge,MENA payment gateway (Amazon),unknown,65,50,60,MEDIUM,P2,BD head,EMAIL,PREPARE_PARTNER_PITCH,Gateway partner,Amazon-owned,Partnership,PREPARE_PARTNER_PITCH,,queued,sami,"Amazon-owned — slow"
Dokkan Afkar,Ecom,dokkanafkar.com,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi ecom,unknown,52,38,33,LOW,P2,Founder,LINKEDIN_MANUAL,RESEARCH_MORE,Merchant SDR,price,Pilot 1 SAR,PREPARE_DM,,queued,sami,
Ifham,EdTech,ifham.sa,SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Saudi kids learning,unknown,50,35,30,LOW,P2,Founder,LINKEDIN_MANUAL,RESEARCH_MORE,EdTech admissions,price,Pilot 1 SAR,RESEARCH_MORE,,queued,sami,
Noon Food,Food Delivery,nooon.com,AE-SA,DIRECT_CUSTOMER,knowledge,,llm_knowledge,Regional food delivery,unknown,55,42,38,LOW,P2,Regional BD,LINKEDIN_MANUAL,RESEARCH_MORE,Merchant B2B,crm,Pilot,RESEARCH_MORE,,queued,sami,
