company,sector,website,country,opportunity_type,source,source_url,signals,tech_stack,fit_score,risk_score,priority,decision_role,channel,recommended_message,next_action,status,notes
Foodics,SaaS Restaurant,foodics.com,SA,DIRECT_CUSTOMER,public_page,https://foodics.com,Series C $170M + hiring sales + WhatsApp widget + HubSpot,HubSpot;WhatsApp Widget;GTM;HubSpot Forms;WordPress,100,LOW,P0,CEO,LINKEDIN_MANUAL,Series C onboarding scale hook,PREPARE_DM,queued,"Tech confirmed: WhatsApp-native sales"
Lucidya,SaaS CXM,lucidya.com,SA,DIRECT_CUSTOMER,public_page,https://lucidya.com,Saudi native CXM + B2B enterprise,4 tools detected,88,LOW,P0,CEO,LINKEDIN_MANUAL,Surname affinity + CXM B2B angle,PREPARE_DM,queued,"Priority — surname connection"
Salla,E-commerce Platform,salla.sa,SA,STRATEGIC_PARTNER,public_page,https://salla.sa,70K merchants + CRM + GA4 + Salla platform,Salla;HubSpot;GTM;GA4;WordPress,93,LOW,P0,CEO,LINKEDIN_MANUAL,Platform add-on via app store,PREPARE_PARTNER_PITCH,queued,"Strategic — distribution layer"
Lean Technologies,Fintech API,leantech.me,SA,DIRECT_CUSTOMER,public_page,https://leantech.me,300+ API customers + SE bottleneck,2 tools,91,LOW,P0,CEO,LINKEDIN_MANUAL,SE pre-qualification layer,PREPARE_DM,queued,"API-first fintech"
BRKZ,ConTech,brkz.com,SA,DIRECT_CUSTOMER,public_page,https://brkz.com,$30M Stride debt,2 tools,83,LOW,P0,Founder,LINKEDIN_MANUAL,Quote workflow automation,PREPARE_DM,queued,"Construction B2B"
Zid,E-commerce Platform,zid.sa,SA,STRATEGIC_PARTNER,public_page,https://zid.sa,15K+ merchants,3 tools,84,LOW,P0,Co-founder,LINKEDIN_MANUAL,Platform add-on similar to Salla,PREPARE_PARTNER_PITCH,queued,"Zid merchants distribution"
Sary,B2B Marketplace,sary.com,SA,DIRECT_CUSTOMER,public_page,https://sary.com,50K SMB retailers,3 tools,82,LOW,P0,Co-founder,LINKEDIN_MANUAL,Merchant success motion,PREPARE_DM,queued,""
Retailo,B2B Marketplace,retailo.co,SA,DIRECT_CUSTOMER,public_page,https://retailo.co,MENAP retail marketplace,0 tools (SPA),81,LOW,P0,Co-founder,LINKEDIN_MANUAL,Marketplace merchant motion,PREPARE_DM,queued,""
Mozn,AI/ML Platform,mozn.com,SA,DIRECT_CUSTOMER,public_page,https://mozn.com,Saudi AI peer,0 tools (SPA),80,LOW,P0,CEO,LINKEDIN_MANUAL,Peer AI sales use-case,PREPARE_DM,queued,""
Tamara,BNPL Fintech,tamara.co,SA,DIRECT_CUSTOMER,public_page,https://tamara.co,$2.4B raised + merchant onboarding,3 tools,89,LOW,P0,CEO,LINKEDIN_MANUAL,Arabic merchant onboarding at scale,PREPARE_DM,queued,""
Mnzil,Proptech,mnzil.co,SA,DIRECT_CUSTOMER,public_page,https://mnzil.co,$11.7M Series A,0 tools (SPA),78,LOW,P1,Founder,LINKEDIN_MANUAL,Proptech lead qualification,PREPARE_DM,queued,""
Logexa,Logistics,logexa.com,SA,DIRECT_CUSTOMER,public_page,https://logexa.com,$2M pre-Series A,0 tools,72,LOW,P1,Founder,LINKEDIN_MANUAL,B2B quote workflow,PREPARE_DM,queued,""
Nana,Grocery Delivery,nana.sa,SA,DIRECT_CUSTOMER,public_page,https://nana.sa,B2C grocery delivery,0 tools,65,LOW,P1,Founder,LINKEDIN_MANUAL,B2B supplier pipeline angle,PREPARE_DM,queued,""
Jahez,Food Delivery,jahez.net,SA,DIRECT_CUSTOMER,public_page,https://jahez.net,Restaurant onboarding,0 tools,70,LOW,P1,Founder,LINKEDIN_MANUAL,Restaurant acquisition SDR,PREPARE_DM,queued,""
SiFi,Corporate Fintech,sifi.co,SA,DIRECT_CUSTOMER,public_page,https://sifi.co,B2B corporate banking,0 tools,75,LOW,P1,CEO,LINKEDIN_MANUAL,Corporate acquisition angle,PREPARE_DM,queued,""
Hakbah,Fintech,hakbah.sa,SA,DIRECT_CUSTOMER,public_page,https://hakbah.sa,4 tools detected,4 tools,73,LOW,P1,CEO,LINKEDIN_MANUAL,B2B partnerships angle,PREPARE_DM,queued,""
Merit Incentives,HR Tech,meritincentives.com,AE,DIRECT_CUSTOMER,public_page,https://meritincentives.com,HR SaaS MENA,1 tool,68,LOW,P1,CEO,LINKEDIN_MANUAL,HR Tech B2B sales,PREPARE_DM,queued,""
Bayzat Saudi,HR SaaS,bayzat.com,AE-SA,DIRECT_CUSTOMER,public_page,https://bayzat.com,HR SaaS KSA expansion,1 tool,76,LOW,P1,Regional lead,LINKEDIN_MANUAL,KSA expansion acceleration,PREPARE_DM,queued,""
Peak Content,Marketing Agency,peakcontent.ae,AE,AGENCY_PARTNER,public_page,https://peakcontent.ae,Service exchange target,0 tools (SPA),82,LOW,P0,Founder,LINKEDIN_MANUAL,Agency partner retainer add-on,PREPARE_PARTNER_PITCH,queued,""
Digital8,Marketing Agency,digital8.ae,AE,AGENCY_PARTNER,public_page,https://digital8.ae,Full-service agency,0 tools (SPA),80,LOW,P0,Founder,LINKEDIN_MANUAL,Agency setup + 25% MRR,PREPARE_PARTNER_PITCH,queued,""
Brand Lounge,Branding Agency,thebrandlounge.ae,AE,REFERRAL_PARTNER,public_page,https://thebrandlounge.ae,Enterprise referral,0 tools (SPA),76,LOW,P1,Founder,LINKEDIN_MANUAL,Referral 10% 12 months,PREPARE_PARTNER_PITCH,queued,""
Qatar Digital,Digital Agency,qatardigital.qa,QA,AGENCY_PARTNER,public_page,https://qatardigital.qa,KSA/UAE agency,0 tools,72,LOW,P1,Founder,LINKEDIN_MANUAL,Multi-market agency,PREPARE_PARTNER_PITCH,queued,""
Wavy,Digital Marketing,wavy.sa,SA,AGENCY_PARTNER,public_page,https://wavy.sa,White-label candidate,0 tools (SPA),90,LOW,P0,Founder,LINKEDIN_MANUAL,White-label 30% MRR,PREPARE_PARTNER_PITCH,queued,"Enterprise KSA — highest priority"
Serviceplan,Integrated Marketing,serviceplan.com,DE-SA,AGENCY_PARTNER,public_page,https://serviceplan.com,Enterprise clients,0 tools,70,MEDIUM,P1,Lead,LINKEDIN_MANUAL,Enterprise partnership,PREPARE_PARTNER_PITCH,queued,""
Intermarkets,B2B Marketing,intermarkets.com,AE,AGENCY_PARTNER,public_page,https://intermarkets.com,SaaS clients,0 tools,74,LOW,P1,Lead,LINKEDIN_MANUAL,B2B SaaS agency partner,PREPARE_PARTNER_PITCH,queued,""
MSL Saudi,PR Marketing,mslgroup.com,Global-SA,REFERRAL_PARTNER,public_page,https://mslgroup.com,Enterprise PR,1 tool,68,LOW,P2,Lead,LINKEDIN_MANUAL,PR referral path,PREPARE_PARTNER_PITCH,queued,""
Rekaz,SMB SaaS,rekaz.io,SA,DIRECT_CUSTOMER,knowledge,,"SMB SaaS Saudi",unknown,80,LOW,P0,Founder,LINKEDIN_MANUAL,Warehouse ops SaaS,PREPARE_DM,queued,""
Lucidya CTO,SaaS CXM,lucidya.com,SA,DIRECT_CUSTOMER,knowledge,,Technical angle to CTO,see Lucidya,75,LOW,P1,CTO,LINKEDIN_MANUAL,Technical integration angle,PREPARE_DM,queued,"Secondary contact in Lucidya"
Hatem Kameli,SaaS CXM,lucidya.com,SA,DIRECT_CUSTOMER,knowledge,,Co-founder angle,see Lucidya,75,LOW,P1,Co-founder,LINKEDIN_MANUAL,Co-founder peer angle,PREPARE_DM,queued,"Secondary contact in Lucidya"
Mosab Alothmani,SaaS Restaurant,foodics.com,SA,DIRECT_CUSTOMER,knowledge,,Co-founder of Foodics,see Foodics,80,LOW,P1,Co-founder,LINKEDIN_MANUAL,Co-founder alt path,PREPARE_DM,queued,"Secondary contact in Foodics"
Yamamah,F&B Chain,yamamahgroup.sa,SA,DIRECT_CUSTOMER,knowledge,,Multi-branch restaurants,unknown,68,LOW,P2,CEO,LINKEDIN_MANUAL,F&B franchise lead qualification,RESEARCH_MORE,queued,"Research franchising channel"
Albaik,F&B Chain,albaik.com,SA,DIRECT_CUSTOMER,knowledge,,Iconic Saudi chain,unknown,65,LOW,P2,CEO,LINKEDIN_MANUAL,Franchise inquiries pipeline,RESEARCH_MORE,queued,""
Herfy,F&B Chain,herfy.com,SA,DIRECT_CUSTOMER,knowledge,,Public company F&B,unknown,62,MEDIUM,P2,CEO,LINKEDIN_MANUAL,B2B supplier channel,RESEARCH_MORE,queued,"Public company — governance heavy"
AlMarai,F&B Supplier,almarai.com,SA,STRATEGIC_PARTNER,knowledge,,Dairy + F&B supplier,unknown,60,MEDIUM,P2,Head of trade,EMAIL,Supplier integration path,RESEARCH_MORE,queued,""
Dammam Hospitals,Healthcare,,SA,DIRECT_CUSTOMER,knowledge,,Medical chains,unknown,55,LOW,P2,Owner,LINKEDIN_MANUAL,Clinic WhatsApp bookings,RESEARCH_MORE,queued,"Need specific names"
Al Mouwasat Hospital,Healthcare,mouwasat.com,SA,DIRECT_CUSTOMER,knowledge,,Hospital group,unknown,58,LOW,P2,Marketing head,LINKEDIN_MANUAL,Booking-heavy ops,PREPARE_DM,queued,""
Dr Sulaiman AlHabib,Healthcare,hmg.com.sa,SA,DIRECT_CUSTOMER,knowledge,,Hospital group (public),unknown,55,MEDIUM,P2,Marketing head,LINKEDIN_MANUAL,Hospital lead response,RESEARCH_MORE,queued,"Public company"
Dar Al Hekma,Education,darwalhekma.edu.sa,SA,DIRECT_CUSTOMER,knowledge,,Private university,unknown,62,LOW,P2,Director of admissions,EMAIL,Admissions inquiries funnel,RESEARCH_MORE,queued,""
Alfaisal University,Education,alfaisal.edu,SA,DIRECT_CUSTOMER,knowledge,,Private university,unknown,62,LOW,P2,Director of admissions,EMAIL,Admissions inquiries funnel,RESEARCH_MORE,queued,""
Alghanim Industries,Conglomerate,alghanim.com,KW-SA,DIRECT_CUSTOMER,knowledge,,Retail + B2B,unknown,60,MEDIUM,P2,Digital director,EMAIL,Multi-brand lead management,RESEARCH_MORE,queued,"Complex organization"
IKEA Saudi,Retail,ikea.com/sa,SA,DIRECT_CUSTOMER,knowledge,,Retail giant KSA,unknown,60,MEDIUM,P2,Marketing head,EMAIL,B2B showroom inquiries,RESEARCH_MORE,queued,"Enterprise — complex procurement"
AppQuality,Recruitment,bayt.com,Global-SA,REFERRAL_PARTNER,knowledge,,Recruitment platform,unknown,55,LOW,P2,Regional BD,LINKEDIN_MANUAL,Recruitment platform integration,RESEARCH_MORE,queued,""
Naseeb,Recruitment,naseeb.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi recruitment,unknown,62,LOW,P2,Founder,LINKEDIN_MANUAL,Recruitment AI SDR,PREPARE_DM,queued,""
Tabby,BNPL Fintech,tabby.ai,AE-SA,DIRECT_CUSTOMER,knowledge,,BNPL fintech,unknown,78,LOW,P1,CEO,LINKEDIN_MANUAL,Merchant acquisition similar to Tamara,PREPARE_DM,queued,""
Rewaa,POS SaaS,rewaa.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi POS platform,unknown,75,LOW,P1,CEO,LINKEDIN_MANUAL,Merchant onboarding Arabic SDR,PREPARE_DM,queued,""
Mocinno,Accelerator,mocinno.com,SA,REFERRAL_PARTNER,knowledge,,Startup accelerator,unknown,72,LOW,P1,Partnerships,EMAIL,Portfolio intro referrals,PREPARE_PARTNER_PITCH,queued,""
Misk Foundation,Accelerator,misk.org.sa,SA,REFERRAL_PARTNER,knowledge,,Saudi innovation foundation,unknown,75,LOW,P1,Startup program lead,EMAIL,Portfolio company referrals,PREPARE_PARTNER_PITCH,queued,""
Sanabil,Investor,sanabilinvestments.com,SA,INVESTOR_OR_ADVISOR,knowledge,,VC fund PIF subsidiary,unknown,70,LOW,P2,Portfolio partner,EMAIL,Advisor intro to portfolio,PREPARE_INVESTOR_NOTE,queued,""
STV,Investor,stv.com,SA,INVESTOR_OR_ADVISOR,knowledge,,MENA VC,unknown,72,LOW,P2,Principal,EMAIL,Portfolio intro to SaaS clients,PREPARE_INVESTOR_NOTE,queued,""
Wamda Capital,Investor,wamdacapital.com,AE-SA,INVESTOR_OR_ADVISOR,knowledge,,MENA VC + media,unknown,70,LOW,P2,Partner,EMAIL,Content collaboration + portfolio intro,PREPARE_INVESTOR_NOTE,queued,""
Raed Ventures,Investor,raedventures.com,SA,INVESTOR_OR_ADVISOR,knowledge,,Saudi VC,unknown,68,LOW,P2,Partner,EMAIL,Portfolio intro,PREPARE_INVESTOR_NOTE,queued,""
Elm,IT Services,elm.sa,SA,DIRECT_CUSTOMER,knowledge,,Saudi gov IT integrator,unknown,55,HIGH,P2,BD head,EMAIL,Public sector — complex,RESEARCH_MORE,queued,"Gov-heavy — slow cycle"
Majarra,Content Platform,majarra.com,AE,CONTENT_COLLABORATION,knowledge,,Arabic content platform,unknown,65,LOW,P2,Founder,LINKEDIN_MANUAL,Content collab on Arabic SaaS,PREPARE_DM,queued,""
Careem,Super App,careem.com,AE-SA,DIRECT_CUSTOMER,knowledge,,Merchant services arm,unknown,65,MEDIUM,P2,Merchant head,LINKEDIN_MANUAL,Merchant pre-qual at scale,RESEARCH_MORE,queued,"Large organization"
Noon,E-commerce,noon.com,AE-SA,DIRECT_CUSTOMER,knowledge,,Regional marketplace,unknown,60,MEDIUM,P2,Merchant head,LINKEDIN_MANUAL,Merchant support automation,RESEARCH_MORE,queued,"Enterprise — slow"
Aramex,Logistics,aramex.com,AE-SA,DIRECT_CUSTOMER,knowledge,,Regional logistics,unknown,60,MEDIUM,P2,B2B sales head,EMAIL,Quote automation,RESEARCH_MORE,queued,""
Almarai,F&B,almarai.com,SA,DIRECT_CUSTOMER,knowledge,,Dairy + F&B B2B,unknown,55,MEDIUM,P2,B2B sales head,EMAIL,Wholesale supplier inquiries,RESEARCH_MORE,queued,""
Alinma Bank,Banking,alinma.com,SA,DIRECT_CUSTOMER,knowledge,,Islamic bank,unknown,50,HIGH,P2,Digital head,EMAIL,SME banking,HOLD_FOR_APPROVAL,queued,"Regulated — careful"
STC Pay,Fintech,stcpay.com.sa,SA,STRATEGIC_PARTNER,knowledge,,Saudi wallet,unknown,72,LOW,P1,BD head,EMAIL,Payment integration partner,PREPARE_PARTNER_PITCH,queued,""
Tap Payments,Payment,tap.company,KW-SA,STRATEGIC_PARTNER,knowledge,,MENA payment gateway,unknown,76,LOW,P1,BD head,EMAIL,Payment gateway partner,PREPARE_PARTNER_PITCH,queued,"Moyasar alternative"
Hyperpay,Payment,hyperpay.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi payment gateway,unknown,68,LOW,P2,BD head,EMAIL,Payment gateway partner,PREPARE_PARTNER_PITCH,queued,""
PayTabs,Payment,paytabs.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi payment gateway,unknown,68,LOW,P2,BD head,EMAIL,Payment gateway partner,PREPARE_PARTNER_PITCH,queued,""
Ajar,Proptech,ajar.com,KW-SA,DIRECT_CUSTOMER,knowledge,,Kuwait-Saudi proptech,unknown,65,LOW,P2,CEO,LINKEDIN_MANUAL,Proptech lead qualification,PREPARE_DM,queued,""
Yalla Real Estate,Real Estate,yalla.sa,SA,DIRECT_CUSTOMER,knowledge,,Saudi real estate,unknown,60,LOW,P2,Sales director,LINKEDIN_MANUAL,Sales team acceleration,RESEARCH_MORE,queued,""
Alfursan,Education,alfursan.sa,SA,DIRECT_CUSTOMER,knowledge,,Saudi education,unknown,55,LOW,P2,Director of admissions,EMAIL,Admissions funnel,RESEARCH_MORE,queued,""
Qureos,HR Tech,qureos.com,AE,DIRECT_CUSTOMER,knowledge,,Upskilling platform MENA,unknown,65,LOW,P2,CEO,LINKEDIN_MANUAL,B2B upskilling sales,PREPARE_DM,queued,""
Oqua,Data SaaS,oqua.io,SA,DIRECT_CUSTOMER,knowledge,,Saudi data SaaS,unknown,70,LOW,P1,Founder,LINKEDIN_MANUAL,Peer SaaS founder,PREPARE_DM,queued,""
Unifonic,Comms SaaS,unifonic.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi SMS/communication platform,unknown,72,LOW,P1,BD head,EMAIL,Comms platform partnership,PREPARE_PARTNER_PITCH,queued,"Integration synergy"
Matajer,E-commerce,matajer.sa,SA,AGENCY_PARTNER,knowledge,,Saudi e-commerce implementer,unknown,65,LOW,P2,Founder,LINKEDIN_MANUAL,E-commerce agency partner,PREPARE_PARTNER_PITCH,queued,""
Jarwal,Marketing Agency,jarwal.com,SA,AGENCY_PARTNER,knowledge,,Saudi digital agency,unknown,68,LOW,P2,Founder,LINKEDIN_MANUAL,Agency partner,PREPARE_PARTNER_PITCH,queued,""
Bold Studio,Creative Agency,boldstudio.sa,SA,AGENCY_PARTNER,knowledge,,Saudi creative agency,unknown,62,LOW,P2,Founder,LINKEDIN_MANUAL,Creative + service exchange,PREPARE_PARTNER_PITCH,queued,""
Netaq,Marketing Agency,netaq.com,SA,AGENCY_PARTNER,knowledge,,Saudi marketing agency,unknown,62,LOW,P2,Founder,LINKEDIN_MANUAL,Agency partner,PREPARE_PARTNER_PITCH,queued,""
Red Box,Agency,redbox.sa,SA,AGENCY_PARTNER,knowledge,,Saudi agency,unknown,60,LOW,P2,Founder,LINKEDIN_MANUAL,Agency partner,PREPARE_PARTNER_PITCH,queued,""
Elkab,Retail SaaS,elkab.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi SMB retail SaaS,unknown,70,LOW,P1,Founder,LINKEDIN_MANUAL,SMB retailer onboarding,PREPARE_DM,queued,""
Tawkilat,B2B Platform,tawkilat.com,SA,DIRECT_CUSTOMER,knowledge,,B2B agent platform Saudi,unknown,65,LOW,P2,Founder,LINKEDIN_MANUAL,B2B sales acceleration,PREPARE_DM,queued,""
Jar,Fintech,jar-app.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi savings/fintech,unknown,65,LOW,P2,Founder,LINKEDIN_MANUAL,B2B partnerships,PREPARE_DM,queued,""
Lamsa,Edtech,lamsaworld.com,AE,DIRECT_CUSTOMER,knowledge,,MENA kids Edtech,unknown,60,LOW,P2,Founder,LINKEDIN_MANUAL,Parent acquisition funnel,PREPARE_DM,queued,""
Raha,Digital Health,raha.co,SA,DIRECT_CUSTOMER,knowledge,,Saudi telehealth,unknown,60,LOW,P2,Founder,LINKEDIN_MANUAL,Booking heavy ops,PREPARE_DM,queued,""
Seha Virtual,Digital Health,sehavirtual.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi telehealth,unknown,60,LOW,P2,Founder,LINKEDIN_MANUAL,Booking heavy ops,PREPARE_DM,queued,""
Rawdah,Kids Education,rawdah.sa,SA,DIRECT_CUSTOMER,knowledge,,Saudi kids education,unknown,55,LOW,P2,Director,LINKEDIN_MANUAL,Parent admissions funnel,RESEARCH_MORE,queued,""
Unifiedpost,B2B SaaS,unifiedpost.com,Global-SA,DIRECT_CUSTOMER,knowledge,,Billing/e-invoicing platform,unknown,55,MEDIUM,P2,Regional lead,EMAIL,KSA expansion,RESEARCH_MORE,queued,""
Wafeq,Accounting SaaS,wafeq.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi accounting SaaS,unknown,78,LOW,P1,Founder,LINKEDIN_MANUAL,Accounting integration + referral,PREPARE_PARTNER_PITCH,queued,"Integration synergy for invoicing"
Qoyod,Accounting SaaS,qoyod.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi accounting SaaS,unknown,72,LOW,P1,Founder,LINKEDIN_MANUAL,Accounting integration partner,PREPARE_PARTNER_PITCH,queued,""
Dafater,Accounting SaaS,dafater.com,SA,STRATEGIC_PARTNER,knowledge,,Saudi accounting SaaS,unknown,68,LOW,P2,Founder,LINKEDIN_MANUAL,Accounting integration,PREPARE_PARTNER_PITCH,queued,""
Zamil Group,Conglomerate,zamil.com,SA,DIRECT_CUSTOMER,knowledge,,Industrial conglomerate,unknown,55,MEDIUM,P2,Digital head,EMAIL,B2B lead qualification,RESEARCH_MORE,queued,"Complex — research needed"
Alshaya,Retail,alshaya.com,KW-SA,DIRECT_CUSTOMER,knowledge,,Retail franchise,unknown,58,MEDIUM,P2,Digital head,EMAIL,Multi-brand lead management,RESEARCH_MORE,queued,""
Careem Pay,Fintech,careempay.com,AE,DIRECT_CUSTOMER,knowledge,,Fintech arm of Careem,unknown,60,MEDIUM,P2,Merchant head,EMAIL,Merchant lead response,RESEARCH_MORE,queued,""
Floward,B2C Delivery,floward.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi flower + gift,unknown,62,LOW,P2,CEO,LINKEDIN_MANUAL,WhatsApp + booking heavy,PREPARE_DM,queued,""
Zoomly,B2B,zoomly.sa,SA,AGENCY_PARTNER,knowledge,,Saudi B2B agency,unknown,60,LOW,P2,Founder,LINKEDIN_MANUAL,Agency partner,PREPARE_PARTNER_PITCH,queued,""
Intelmatix,AI,intelmatix.com,SA,DIRECT_CUSTOMER,knowledge,,Saudi AI B2B,unknown,62,LOW,P2,CEO,LINKEDIN_MANUAL,Peer AI sales,PREPARE_DM,queued,""
STCS,IT Services,stcs.com.sa,SA,DIRECT_CUSTOMER,knowledge,,STC's IT arm,unknown,55,HIGH,P2,BD head,EMAIL,Complex enterprise sales,RESEARCH_MORE,queued,"Bureaucratic"
Haraj,Marketplace,haraj.com.sa,SA,DIRECT_CUSTOMER,knowledge,,Saudi classifieds,unknown,62,MEDIUM,P2,CEO,LINKEDIN_MANUAL,Vendor support automation,RESEARCH_MORE,queued,""
Yaqeen,Consulting,yaqeen.com,SA,AGENCY_PARTNER,knowledge,,Saudi B2B consulting,unknown,58,LOW,P2,Partner,LINKEDIN_MANUAL,Consulting partnership,PREPARE_PARTNER_PITCH,queued,""
Nohayati,Agency,nohayati.com,SA,AGENCY_PARTNER,knowledge,,Saudi content agency,unknown,58,LOW,P2,Founder,LINKEDIN_MANUAL,Content + referral,PREPARE_PARTNER_PITCH,queued,""
NRG,Staffing,nrg.com.sa,SA,REFERRAL_PARTNER,knowledge,,Saudi staffing,unknown,55,LOW,P2,BD,EMAIL,Recruitment referral,RESEARCH_MORE,queued,""
Adel Al-Falih,Angel Investor,,SA,INVESTOR_OR_ADVISOR,knowledge,,Active Saudi angel (Lean),unknown,75,LOW,P1,Angel,LINKEDIN_MANUAL,Portfolio intro + advisor role,PREPARE_INVESTOR_NOTE,queued,"Father of Hisham Al-Falih"
Abdullah Alzahrani,Content Creator,,SA,CONTENT_COLLABORATION,knowledge,,Saudi business content,unknown,62,LOW,P2,Creator,LINKEDIN_MANUAL,Content collab,PREPARE_DM,queued,""
Entlaq,Community,entlaq.com.sa,SA,CONTENT_COLLABORATION,knowledge,,Saudi startup community,unknown,72,LOW,P1,Community lead,EMAIL,Community partnership,PREPARE_PARTNER_PITCH,queued,""
Mansoor AlRoumi,Content Creator,,SA,CONTENT_COLLABORATION,knowledge,,Saudi tech content,unknown,60,LOW,P2,Creator,LINKEDIN_MANUAL,Content collab Arabic AI SaaS,PREPARE_DM,queued,""
Mahmoud Nouh,Content Creator,,SA,CONTENT_COLLABORATION,knowledge,,Saudi founder content,unknown,60,LOW,P2,Creator,LINKEDIN_MANUAL,Content collab,PREPARE_DM,queued,""
Misk Newsroom,Media,newsroom.misk.org.sa,SA,CONTENT_COLLABORATION,knowledge,,Saudi startup media,unknown,68,LOW,P2,Editor,EMAIL,Content coverage,PREPARE_DM,queued,""
Gate Ventures,Investor,gate.vc,SA,INVESTOR_OR_ADVISOR,knowledge,,Saudi VC,unknown,65,LOW,P2,Principal,EMAIL,Portfolio intro,PREPARE_INVESTOR_NOTE,queued,""
Arzan VC,Investor,arzanvc.com,KW-SA,INVESTOR_OR_ADVISOR,knowledge,,GCC VC,unknown,62,LOW,P2,Partner,EMAIL,Portfolio intro,PREPARE_INVESTOR_NOTE,queued,""
Vision Ventures,Investor,visionventures.com,SA,INVESTOR_OR_ADVISOR,knowledge,,Saudi early-stage VC,unknown,65,LOW,P2,Partner,EMAIL,Portfolio intro,PREPARE_INVESTOR_NOTE,queued,""
KAUST Innovation,Accelerator,kaust.edu.sa,SA,REFERRAL_PARTNER,knowledge,,KAUST startup program,unknown,65,LOW,P2,Program lead,EMAIL,Portfolio referral,PREPARE_PARTNER_PITCH,queued,""
Saudi Technology Development (TAQNIA),Accelerator,taqnia.com,SA,REFERRAL_PARTNER,knowledge,,Saudi tech dev,unknown,58,MEDIUM,P2,BD,EMAIL,Portfolio introduction,RESEARCH_MORE,queued,""
